player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
Cody Schrader,Cody-Schrader,https://premium.pff.com/api/v1/players?league=ncaa&id=157177,157177,HB,MISSOURI,13,169,29,8,27.7,205,0,739,3,5,29,486,52.3,13,37,229,1,66,82.3,73.7,88.4,,36.4,50.1,80.7,62.5,63,0,134,18,230,262,0,0,27,187,9,739,486,2.88,4.4,0.58,103,559,0,Missouri,2023
Jermaine Brown Jr.,Jermaine-Brown-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=97084,97084,HB,UAB,13,167,27,17,46.1,434,0,941,1,3,27,466,45.3,28,46,321,2,53,74.4,79.9,88.4,,32,61.6,82.8,55.6,54,0,121,18,141,193,0,0,21,185,8,941,466,2.79,5.6,0.86,112,400,0,UAB,2024
Kaytron Allen,Kaytron-Allen,https://premium.pff.com/api/v1/players?league=ncaa&id=164158,164158,HB,PENN STATE,13,167,45,8,25.7,222,0,864,0,5,45,506,81,28,45,266,1,73,82.3,81,85.9,,47.7,63,84.2,57.5,59,0,188,20,188,207,0,0,24,187,10,864,506,3.03,5.2,1,93,440,0,Penn State,2026
Logan Diggs,Logan-Diggs,https://premium.pff.com/api/v1/players?league=ncaa&id=147475,147475,HB,NOTRE DAME,12,165,27,11,33.7,277,0,822,0,1,27,506,49.1,18,39,258,1,115,81.6,74.4,84.7,,6,76,73.5,57.2,51,0,211,10,93,181,0,0,11,175,4,822,506,3.07,5,2.27,48,294,1,#N/A,#N/A
Ronald Awatt,Ronald-Awatt,https://premium.pff.com/api/v1/players?league=ncaa&id=57461,57461,HB,UTEP,12,163,25,7,22.3,164,0,734,0,4,25,440,46.3,19,38,330,1,37,81.6,70.1,85.2,,62.7,64.8,69.5,55.1,37,0,76,6,101,179,0,0,8,169,2,734,440,2.7,4.5,0.75,125,403,0,UTEP,2023
Harrison Waylee,Harrison-Waylee,https://premium.pff.com/api/v1/players?league=ncaa&id=130584,130584,HB,N ILLINOIS,11,163,31,10,42.5,380,0,895,1,3,31,564,65.4,22,40,254,1,78,81.8,73.6,87.2,,21.3,55.6,78.7,58.1,76,0,117,17,171,235,0,0,21,180,5,895,564,3.46,5.5,0.68,78,459,2,Wyoming,2025
Jalen White,Jalen-White,https://premium.pff.com/api/v1/players?league=ncaa&id=122464,122464,HB,GA SOUTHRN,11,162,54,12,39.9,368,0,923,3,14,54,628,143.3,24,48,174,0,67,90.4,81.8,85.7,,60.8,64.1,87.8,38.1,71,0,217,22,245,183,0,0,29,184,10,923,628,3.88,5.7,0.89,93,521,0,Georgia Southern,2024
Damien Martinez,Damien-Martinez,https://premium.pff.com/api/v1/players?league=ncaa&id=162437,162437,HB,OREGON ST,13,161,40,13,36.5,358,0,982,0,1,40,560,86.4,29,53,265,1,27,90.4,85.9,86.8,,12.2,52.6,90.2,65.1,50,0,61,4,132,194,0,0,9,165,7,982,560,3.48,6.1,0.46,133,366,0,Oregon State,2026
Percy Agyei-Obese,Percy-Agyei-Obese,https://premium.pff.com/api/v1/players?league=ncaa&id=57255,57255,HB,JAMES MAD,10,159,29,13,35,317,0,905,1,0,29,585,66.3,23,52,197,3,38,59.9,78,84.6,,40.3,43.3,79.8,62.4,36,0,11,2,89,196,0,0,3,161,8,905,585,3.68,5.7,0.12,120,330,0,James Madison,2023
Blake Watson,Blake-Watson,https://premium.pff.com/api/v1/players?league=ncaa&id=84363,84363,HB,DOMINION,11,159,60,13,44.7,412,0,921,2,16,60,727,177.3,24,39,263,1,72,81.8,83,85.8,,56.7,78.2,86.1,54.8,67,0,314,37,284,179,0,0,45,196,5,921,727,4.57,5.8,1.11,85,555,2,Memphis,2024
