"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"681",401432573,2022,3,"Hiram","DePauw",0,44,"DePauw @ Hiram",NA,NA
"682",401420779,2022,3,"Morgan State","Sacred Heart",24,9,"Sacred Heart @ Morgan State","Sacred Heart -15.0","32.5"
"683",401431042,2022,3,"Dean College","Curry",25,33,"Curry @ Dean College",NA,NA
"684",401405084,2022,3,"Syracuse","Purdue",32,29,"Purdue @ Syracuse","Syracuse -1.5","60.0"
"685",401441942,2022,3,"Buffalo State","SUNY Cortland",7,66,"SUNY Cortland @ Buffalo State",NA,NA
"686",401439528,2022,3,"Springfield","Union",6,21,"Union @ Springfield",NA,NA
"687",401431812,2022,3,"Findlay","Southwest Baptist",52,35,"Southwest Baptist @ Findlay",NA,NA
"688",401443117,2022,3,"Albright","Misericordia",21,27,"Misericordia @ Albright",NA,NA
"689",401438615,2022,3,"Salve Regina","Montclair State",14,31,"Montclair State @ Salve Regina",NA,NA
"690",401431061,2022,3,"University of New England","Gallaudet",31,34,"Gallaudet @ University of New England",NA,NA
"691",401432102,2022,3,"Charleston (WV)","Frostburg State",28,34,"Frostburg State @ Charleston (WV)",NA,NA
"692",401432989,2022,3,"Shepherd","California (PA)",26,23,"California (PA) @ Shepherd",NA,NA
"693",401431816,2022,3,"Davenport","Northern Michigan",31,21,"Northern Michigan @ Davenport",NA,NA
"694",401432978,2022,3,"Edinboro","Bloomsburg",23,20,"Bloomsburg @ Edinboro",NA,NA
"695",401433150,2022,3,"Bluefield","Central State",27,23,"Central State @ Bluefield",NA,NA
"696",401432128,2022,3,"Notre Dame College","West Liberty",34,17,"West Liberty @ Notre Dame College",NA,NA
"697",401431842,2022,3,"Shorter","Albany State (GA)",20,42,"Albany State (GA) @ Shorter",NA,NA
"698",401429862,2022,3,"Elizabeth City State","Winston-Salem",20,17,"Winston-Salem @ Elizabeth City State",NA,NA
"699",401433058,2022,3,"Gannon","West Chester",23,29,"West Chester @ Gannon",NA,NA
"700",401433014,2022,3,"Mercyhurst","Kutztown",31,50,"Kutztown @ Mercyhurst",NA,NA
"701",401433038,2022,3,"Seton Hill College","East Stroudsburg",7,22,"East Stroudsburg @ Seton Hill College",NA,NA
"702",401431052,2022,3,"Husson","Alfred State College",23,17,"Alfred State College @ Husson",NA,NA
"703",401415186,2022,3,"Brown","Bryant",44,38,"Bryant @ Brown","Bryant -4.5","64"
"704",401423914,2022,3,"Pennsylvania","Colgate",25,14,"Colgate @ Pennsylvania","Pennsylvania -3","41.5"
"705",401424424,2022,3,"Rhode Island","Delaware",21,42,"Delaware @ Rhode Island","Rhode Island -3","47"
"706",401424404,2022,3,"Monmouth","Georgetown",45,6,"Georgetown @ Monmouth","Monmouth -17.5","55.0"
"707",401432728,2022,3,"Maryville TN","Shenandoah",29,34,"Shenandoah @ Maryville TN",NA,NA
"708",401423413,2022,3,"Stetson","Princeton",14,39,"Princeton @ Stetson","Princeton -33.5","56.5"
"709",401455584,2022,3,"Iowa Wesleyan","Finlandia University",55,0,"Finlandia University @ Iowa Wesleyan",NA,NA
"710",401432582,2022,3,"Kenyon","Wittenberg",28,51,"Wittenberg @ Kenyon",NA,NA
"711",401404073,2022,3,"West Virginia","Towson",65,7,"Towson @ West Virginia","West Virginia -41","58.5"
"712",401424425,2022,3,"Fordham","Albany",48,45,"Albany @ Fordham","Fordham -8.5","61.5"
"713",401446233,2022,3,"Gettysburg","Dickinson",9,35,"Dickinson @ Gettysburg",NA,NA
"714",401441947,2022,3,"William Paterson","Keystone",27,20,"Keystone @ William Paterson",NA,NA
"715",401416601,2022,3,"Coastal Carolina","Buffalo",38,26,"Buffalo @ Coastal Carolina","Coastal Carolina -11.5","60.0"
"716",401413335,2022,3,"Indiana State","Montana",14,49,"Montana @ Indiana State","Montana -24.5","40"
"717",401432531,2022,3,"Susquehanna","Moravian",37,3,"Moravian @ Susquehanna",NA,NA
"718",401438181,2022,3,"WV State","Fairmont State",34,29,"Fairmont State @ WV State",NA,NA
"719",401430718,2022,3,"Chowan","Johnson C Smith",32,29,"Johnson C Smith @ Chowan",NA,NA
"720",401441254,2022,3,"Wesleyan","Bates College",41,10,"Bates College @ Wesleyan",NA,NA
"721",401432147,2022,3,"Glenville State","UNC Pembroke",45,17,"UNC Pembroke @ Glenville State",NA,NA
"722",401435065,2022,3,"Western New England","Utica",21,23,"Utica @ Western New England",NA,NA
"723",401432750,2022,3,"Carnegie Mellon","Grove City College",40,33,"Grove City College @ Carnegie Mellon",NA,NA
"724",401437186,2022,3,"New Haven","American International",54,26,"American International @ New Haven",NA,NA
"725",401432795,2022,3,"Berry College","UW-Whitewater",3,17,"UW-Whitewater @ Berry College",NA,NA
"726",401445220,2022,3,"Ohio Dominican","William Jewell College",31,21,"William Jewell College @ Ohio Dominican",NA,NA
"727",401432735,2022,3,"Methodist","Washington & Lee",14,37,"Washington & Lee @ Methodist",NA,NA
"728",401416602,2022,3,"Central Michigan","Bucknell",41,0,"Bucknell @ Central Michigan","Central Michigan -40.5","59"
"729",401444450,2022,3,"Mars Hill","Catawba",38,7,"Catawba @ Mars Hill",NA,NA
"730",401432610,2022,3,"Denison","Oberlin",51,10,"Oberlin @ Denison",NA,NA
"731",401429852,2022,3,"Shaw","Bowie State",17,14,"Bowie State @ Shaw",NA,NA
"732",401435133,2022,3,"Catholic University","Kean",14,33,"Kean @ Catholic University",NA,NA
"733",401438171,2022,3,"Dayton","Kentucky State",46,3,"Kentucky State @ Dayton",NA,NA
"734",401435141,2022,3,"Merchant Marine","SUNY Maritime",48,13,"SUNY Maritime @ Merchant Marine",NA,NA
"735",401437209,2022,3,"Hobart","St. John Fisher",17,0,"St. John Fisher @ Hobart",NA,NA
"736",401435196,2022,3,"Guilford","Huntingdon",7,47,"Huntingdon @ Guilford",NA,NA
"737",401445807,2022,3,"Colby","Williams",24,14,"Williams @ Colby",NA,NA
"738",401432414,2022,3,"Minnesota St-Moorhead","Augustana (SD)",7,31,"Augustana (SD) @ Minnesota St-Moorhead",NA,NA
"739",401432710,2022,3,"LaGrange College","Ferrum",44,38,"Ferrum @ LaGrange College",NA,NA
"740",401432719,2022,3,"Hampden-Sydney","Greensboro",70,28,"Greensboro @ Hampden-Sydney",NA,NA
"741",401438663,2022,3,"Randolph-Macon","Southern Virginia",47,20,"Southern Virginia @ Randolph-Macon",NA,NA
"742",401432092,2022,3,"Alderson-Broaddus","Wheeling Jesuit",41,56,"Wheeling Jesuit @ Alderson-Broaddus",NA,NA
"743",401436999,2022,3,"McDaniel College","Franklin & Marshall",3,35,"Franklin & Marshall @ McDaniel College",NA,NA
"744",401443124,2022,3,"St. Vincent","Thiel College",24,16,"Thiel College @ St. Vincent",NA,NA
"745",401431552,2022,3,"Northwood (MI)","Saginaw Valley",14,35,"Saginaw Valley @ Northwood (MI)",NA,NA
"746",401431161,2022,3,"Mass Maritime","Anna Maria College",14,23,"Anna Maria College @ Mass Maritime",NA,NA
"747",401431129,2022,3,"Hanover","Olivet College",28,31,"Olivet College @ Hanover",NA,NA
"748",401431031,2022,3,"Johns Hopkins","Juniata",70,0,"Juniata @ Johns Hopkins",NA,NA
"749",401439533,2022,3,"Stevenson","Alvernia University",40,18,"Alvernia University @ Stevenson",NA,NA
"750",401445173,2022,3,"King's College (PA)","Delaware Valley",6,26,"Delaware Valley @ King's College (PA)",NA,NA
"751",401432767,2022,3,"Waynesburg","Geneva College",37,30,"Geneva College @ Waynesburg",NA,NA
